millis,block_temp_1,block_temp_2,block_temp_mean,temp_cap,block_gradient,cap_gradient,l_btn,r_btn,H70_pwm,H50_pwm,H_CAP_pwm,H70_act,H50_act,H_CAP_act,FAN_act,AZ_5,target_temp_block,target_temp_cap,heat_act
8548,24.00,23.75,23.87,30.25,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
9226,24.25,23.50,23.87,30.25,0.28,0.35,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
9905,23.50,23.25,23.37,30.25,0.32,0.35,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
10584,24.25,23.50,23.87,30.25,0.21,0.35,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
11263,24.00,23.75,23.87,30.25,0.32,0.35,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
11946,24.25,23.75,24.00,30.25,0.28,0.35,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
12624,23.75,23.50,23.62,30.25,0.32,0.35,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
13302,23.75,24.00,23.87,30.25,0.24,0.35,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
13980,24.25,23.75,24.00,30.00,0.24,0.35,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0
14658,24.25,23.75,24.00,30.00,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
15300,24.00,23.25,23.62,30.00,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0
15940,24.25,23.50,23.87,29.75,-0.00,-0.04,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0
16588,24.00,23.50,23.75,30.25,0.00,-0.08,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
17294,24.25,23.50,23.87,29.75,0.07,0.00,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
17999,24.00,23.50,23.75,30.25,-0.00,-0.07,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
18703,24.25,24.00,24.12,30.50,-0.00,0.00,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
19407,25.00,24.75,24.87,31.00,-0.00,0.04,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
20110,25.75,25.25,25.50,31.00,0.18,0.11,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
20817,26.50,26.00,26.25,31.50,0.28,0.11,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
21520,26.75,26.75,26.75,32.25,0.32,0.22,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
22223,27.75,26.75,27.25,33.25,0.35,0.32,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
22926,28.00,28.00,28.00,33.75,0.53,0.47,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
23629,29.25,28.50,28.87,34.50,0.53,0.58,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
24332,29.75,29.00,29.37,35.00,0.75,0.60,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
25038,30.00,29.50,29.75,35.50,0.78,0.75,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
25741,30.75,29.75,30.25,36.50,0.85,0.75,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
26444,31.50,30.75,31.12,37.00,0.92,0.85,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
27147,31.75,31.00,31.37,37.75,0.92,0.85,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
27850,32.00,32.00,32.00,38.25,0.85,0.96,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
28553,32.75,32.00,32.38,39.00,0.78,0.96,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
29260,33.75,32.50,33.13,39.50,0.85,0.96,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
29963,33.75,33.25,33.50,40.00,0.85,0.89,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
30666,34.25,33.50,33.88,41.00,0.82,0.89,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
31369,34.50,34.00,34.25,41.25,0.71,0.92,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
32072,35.25,34.75,35.00,42.00,0.67,0.89,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
32775,35.75,35.25,35.50,43.00,0.75,0.92,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
33478,36.50,35.75,36.13,43.50,0.71,0.92,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
34184,36.75,36.25,36.50,44.50,0.71,0.92,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
34887,37.25,36.50,36.88,45.00,0.71,0.96,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
35590,37.75,36.75,37.25,45.50,0.75,0.96,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
36293,38.75,37.50,38.13,46.25,0.71,0.92,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
36996,38.75,37.75,38.25,47.00,0.71,0.96,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
37699,39.75,38.50,39.13,47.75,0.71,1.00,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
38406,40.00,38.25,39.13,48.50,0.78,0.96,0,0,255,255,255,1,1,1,0,0,95.00,110.00,1
